日期,Open,High,Low,Close
2024-03-05,268.36,270.265,263.28,267.0
2024-03-06,270.0,272.078,267.42,268.03
2024-03-07,268.0,271.72,266.02,270.35
2024-03-08,269.5,272.44,259.24,259.4
2024-03-11,258.5,259.0,253.25,254.45
2024-03-12,255.5,259.736,254.955,258.09
2024-03-13,258.27,260.49,255.38,257.26
2024-03-14,257.55,259.4,255.59,257.13
2024-03-15,256.99,256.99,252.51,254.89
2024-03-18,257.0,257.675,251.61,254.15
2024-03-19,253.95,254.78,249.58,252.76
2024-03-20,256.17,262.41,254.42,261.72
2024-03-21,264.21,264.67,258.5,259.64
2024-03-22,259.38,265.46,258.89,264.95
2024-03-25,263.01,264.95,260.89,261.92
2024-03-26,273.01,278.3,262.65,262.81
2024-03-27,267.0,269.72,257.56,260.2
2024-03-28,258.53,268.545,258.0,263.9
2024-04-01,262.97,267.24,260.8,266.43
2024-04-02,261.44,270.72,261.38,269.58
2024-04-03,285.04,293.0,279.0,291.77
2024-04-04,293.0,304.0,292.75,295.96
2024-04-05,298.68,313.068,298.68,310.31
2024-04-08,309.2,313.159,307.41,309.07
2024-04-09,308.6,309.585,299.11,300.73
2024-04-10,297.79,303.45,296.0,299.99
2024-04-11,300.79,305.74,299.02,303.57
2024-04-12,301.0,303.355,299.0,300.45
2024-04-15,302.72,304.59,290.35,290.52
2024-04-16,291.13,300.93,289.01,298.08
2024-04-17,298.32,300.045,293.27,293.58
2024-04-18,294.78,296.801,288.67,289.2
2024-04-19,284.8,285.0,270.45,275.83
2024-04-22,280.97,280.97,267.76,272.24
2024-04-23,301.13,319.3,298.5,303.31
2024-04-24,301.35,305.64,278.14,281.23
2024-04-25,275.67,291.375,271.65,289.02
2024-04-26,292.65,294.0,284.84,289.59
2024-04-29,289.01,290.91,284.23,286.24
2024-04-30,287.0,288.45,280.37,280.44
2024-05-01,280.66,290.88,280.66,284.54
2024-05-02,287.515,294.39,283.39,294.17
2024-05-03,294.81,298.82,292.04,296.07
2024-05-06,298.0,300.04,294.62,299.48
2024-05-07,296.54,299.83,294.76,298.05
2024-05-08,297.55,303.295,296.17,298.65
2024-05-09,298.88,301.37,294.262,298.66
2024-05-10,300.21,303.656,293.08,294.6
2024-05-13,294.65,295.41,287.17,289.71
2024-05-14,287.72,291.535,286.205,290.12
2024-05-15,298.85,303.07,295.39,303.04
2024-05-16,302.54,304.92,297.86,298.12
2024-05-17,299.95,302.87,298.12,302.82
2024-05-20,303.0,312.69,303.0,308.21
2024-05-21,304.85,307.98,302.375,304.93
2024-05-22,306.0,306.69,295.71,298.76
2024-05-23,302.92,305.82,296.98,300.51
2024-05-24,298.0,309.64,298.0,308.16
2024-05-28,307.0,312.0,306.0,310.29
2024-05-29,307.71,309.155,304.1,307.52
2024-05-30,305.45,307.235,301.59,304.69
2024-05-31,301.89,304.65,292.21,296.78
2024-06-03,313.01,317.0,307.355,313.62
2024-06-04,312.64,326.76,310.5,326.68
2024-06-05,326.55,331.08,322.55,324.75
2024-06-06,325.0,328.63,318.1,319.51
2024-06-07,318.99,319.05,307.67,308.21
2024-06-10,309.46,312.16,305.366,309.0
2024-06-11,319.0,319.375,306.08,310.0
2024-06-12,311.0,316.11,309.29,315.49
2024-06-13,313.14,314.837,300.79,306.01
2024-06-14,307.23,316.7,305.85,313.02
2024-06-17,312.67,317.452,310.88,311.22
2024-06-18,310.0,312.31,305.49,309.9
2024-06-20,311.64,317.3,310.65,313.89
2024-06-21,311.71,319.04,308.4,317.74
2024-06-24,317.74,319.5,310.67,314.99
2024-06-25,317.91,322.73,312.615,321.28
2024-06-26,320.0,322.0,316.19,318.96
2024-06-27,319.29,324.56,314.24,315.38
2024-06-28,315.39,317.99,306.21,313.79
2024-07-01,313.64,314.42,306.81,313.84
2024-07-02,314.02,316.645,309.43,315.55
2024-07-03,315.3,316.08,311.01,314.8
2024-07-05,315.0,317.09,313.53,316.85
2024-07-08,321.94,322.0,309.01,313.71
2024-07-09,315.26,315.43,310.64,311.55
2024-07-10,308.0,312.31,304.85,304.99
2024-07-11,312.73,314.02,297.11,300.98
2024-07-12,302.13,307.44,300.39,302.27
2024-07-15,302.27,308.12,299.4,302.15
2024-07-16,303.78,304.87,294.85,298.5
2024-07-17,294.79,299.38,290.87,294.74
2024-07-18,296.66,298.32,288.07,290.16
2024-07-19,292.23,298.38,290.5,295.09
2024-07-22,298.0,300.72,290.13,295.45
2024-07-23,339.5,343.4,326.5,330.79
2024-07-24,333.62,346.23,328.76,336.52
2024-07-25,336.82,341.0,324.08,328.95
2024-07-26,330.42,331.37,320.2,321.88
2024-07-29,323.74,328.07,319.73,323.74
2024-07-30,323.35,334.65,321.83,330.35
2024-07-31,334.05,344.34,330.14,343.94
2024-08-01,345.09,359.375,335.01,336.5
2024-08-02,326.41,332.4,318.75,330.85
2024-08-05,302.01,325.59,300.57,324.03
2024-08-06,323.99,330.72,320.38,327.3
2024-08-07,329.0,335.363,323.16,323.34
2024-08-08,328.2,339.49,324.36,338.32
2024-08-09,337.27,343.275,333.67,339.9
2024-08-12,340.0,343.43,336.51,340.36
2024-08-13,339.0,340.31,333.8,334.74
2024-08-14,335.99,338.51,332.37,334.35
2024-08-15,337.0,341.637,333.91,335.59
2024-08-16,335.21,338.91,332.82,337.38
2024-08-19,335.0,346.17,334.565,344.69
2024-08-20,346.55,348.85,342.745,346.28
2024-08-21,345.16,347.86,343.305,343.69
2024-08-22,345.01,350.32,340.52,342.2
2024-08-23,342.41,347.98,340.176,342.49
2024-08-26,342.5,343.81,333.61,336.07
2024-08-27,333.51,343.26,333.0,339.47
2024-08-28,338.31,339.54,334.09,337.56
2024-08-29,338.8,344.5,338.8,340.73
2024-08-30,341.17,343.505,337.47,342.88
2024-09-03,340.05,342.4,326.095,328.6
2024-09-04,327.8,336.38,327.07,329.25
2024-09-05,323.38,329.6,322.62,328.63
2024-09-06,331.26,331.92,319.07,322.77
2024-09-09,324.5,329.04,322.35,324.07
2024-09-10,326.52,328.15,324.16,327.0
2024-09-11,328.11,337.23,326.0,336.66
2024-09-12,338.25,342.17,337.13,337.51
2024-09-13,337.79,344.518,337.53,337.9
2024-09-16,343.02,344.0,337.15,338.83
2024-09-17,341.04,346.98,339.28,342.15
2024-09-18,342.85,346.82,340.37,343.97
2024-09-19,350.0,368.29,348.96,360.22
2024-09-20,363.82,366.79,362.0,365.17
2024-09-23,367.0,371.11,363.53,369.01
2024-09-24,374.83,382.6,371.0,380.36
2024-09-25,377.8,386.96,375.711,383.96
2024-09-26,386.72,389.23,373.08,379.16
2024-09-27,376.76,377.41,365.91,369.2
2024-09-30,369.05,373.38,366.25,368.53
2024-10-01,370.49,375.66,367.93,375.4
2024-10-02,374.46,377.368,371.53,374.75
2024-10-03,372.57,376.69,371.74,372.6
2024-10-04,376.38,379.48,368.11,371.45
2024-10-07,369.36,371.0,362.31,362.95
2024-10-08,366.58,371.953,365.03,370.38
2024-10-09,370.0,376.14,368.35,373.98
2024-10-10,375.0,382.768,375.0,378.0
2024-10-11,379.11,380.0,373.39,373.7
2024-10-14,375.0,377.18,370.23,372.5
2024-10-15,373.61,374.2,364.256,372.6
2024-10-16,375.0,376.86,368.41,371.69
2024-10-17,372.38,373.99,366.65,366.75
2024-10-18,370.0,384.21,369.42,378.88
2024-10-21,377.43,382.55,376.06,381.97
2024-10-22,381.99,389.48,381.8,387.63
2024-10-23,387.63,388.73,378.9,379.84
2024-10-24,382.0,383.59,376.03,376.87
2024-10-25,376.7,383.0,376.0,379.16
2024-10-28,388.0,388.555,381.1,384.36
2024-10-29,386.7,397.195,384.22,391.23
2024-10-30,391.68,395.68,389.14,394.02
2024-10-31,390.08,393.74,381.67,385.1
2024-11-01,382.51,389.33,380.63,384.5
2024-11-04,380.94,383.745,377.11,377.73
2024-11-05,380.27,384.07,378.38,382.63
2024-11-06,386.1,392.12,376.04,391.16
2024-11-07,399.0,403.76,391.42,399.84
2024-11-08,399.15,405.93,397.33,400.68
2024-11-11,405.11,412.95,404.79,410.19
2024-11-12,415.81,420.0,411.4,419.39
